seed,organ,jamming,pmax_avoidance,pmax_reachability,pmax_safety,n_states,error
18,Heart,0,0.9004605895537624,0.9004605895537624,0.9795917805335396,141,
18,Lungs,0,0.9004605895902382,0.9004605895902382,0.9795917805335396,141,
18,Liver,0,0.9004605895609581,0.9004605895609581,0.9795917805335396,141,
18,Intestines,0,0.9004605895654576,0.9004605895654576,0.9795917805335396,141,
18,Pancreas,0,0.900460589579686,0.900460589579686,0.9795917805335396,141,
18,Kidneys,0,0.9004605895554271,0.9004605895554271,0.9795917805335396,141,
18,Heart,1,0.8235480548036935,0.8235480548036935,0.7471870366661261,273,
18,Lungs,1,0.8235782085905085,0.8235782085905085,0.7471870366661261,273,
18,Liver,1,0.8235841045711055,0.8235841045711055,0.7471870366661261,273,
18,Intestines,1,0.8235740660299697,0.8235740660299697,0.7471870366661261,273,
18,Pancreas,1,0.8235558936371172,0.8235558936371172,0.7471870366661261,273,
18,Kidneys,1,0.8263132296638395,0.8263132296638395,0.7471870366661261,273,
19,Heart,0,0.9791838323274238,0.9791838323274238,0.9991493288598863,141,
19,Lungs,0,0.9791838323274238,0.9791838323274238,0.9991493288598863,141,
19,Liver,0,0.9791838323274238,0.9791838323274238,0.9991493288598863,141,
19,Intestines,0,0.9791838323274238,0.9791838323274238,0.9991493288598863,141,
19,Pancreas,0,0.9791838323274238,0.9791838323274238,0.9991493288598863,141,
19,Kidneys,0,0.9791838323274238,0.9791838323274238,0.9991493288598863,141,
19,Heart,1,0.87385946156238,0.87385946156238,0.7504580978910143,274,
19,Lungs,1,0.8732241059468682,0.8732241059468682,0.7504580978910143,274,
19,Liver,1,0.8764249413246746,0.8764249413246746,0.7504580978910143,274,
19,Intestines,1,0.873891143376861,0.873891143376861,0.7504580978910143,274,
19,Pancreas,1,0.874845906643762,0.874845906643762,0.7504580978910143,274,
19,Kidneys,1,0.8758336817775816,0.8758336817775816,0.7504580978910143,274,
20,Heart,0,0.8073280960039642,0.8073280960039642,0.8942924530404662,142,
20,Lungs,0,0.8073280960039642,0.8073280960039642,0.8942924530404662,142,
20,Liver,0,0.8073280960039642,0.8073280960039642,0.8942924530404662,142,
20,Intestines,0,0.8073280960039642,0.8073280960039642,0.8942924530404662,142,
