seed,organ,jamming,k,avoidance,reachability,safety
1,Kidneys,0,15,6.508584021403582e-13,6.508584021403582e-13,0.9985589839988546
1,Kidneys,0,16,4.7019069563456016e-11,4.7019069563456016e-11,0.998125153792811
1,Kidneys,0,17,1.152058995175748e-09,1.152058995175748e-09,0.9976520488374706
1,Kidneys,0,18,1.3317679367219958e-08,1.3317679367219958e-08,0.9971450189116284
1,Kidneys,0,19,9.308646105786185e-08,9.308646105786185e-08,0.9966085312422069
1,Kidneys,0,20,4.518313256904005e-07,4.518313256904005e-07,0.9960462282942928
1,Heart,1,1,0.0,0.0,0.9999999999999998
1,Heart,1,2,0.0,0.0,0.9999999999999997
1,Heart,1,3,0.0,0.0,0.9988828639999998
1,Heart,1,4,0.0,0.0,0.9983493525583998
1,Heart,1,5,0.0,0.0,0.9973665954420119
1,Heart,1,6,0.0,0.0,0.9964010241969112
1,Heart,1,7,0.0,0.0,0.9951780931005668
1,Heart,1,8,0.0,0.0,0.9938711636883526
1,Heart,1,9,0.0,0.0,0.9925695686219145
1,Heart,1,10,8.797930478876229e-18,8.797930478876229e-18,0.9911982137592047
1,Heart,1,11,1.1056925363776297e-14,1.1056925363776297e-14,0.9897933019487387
1,Heart,1,12,4.474200362600499e-12,4.474200362600499e-12,0.9882979414404035
1,Heart,1,13,5.548479836437288e-10,5.548479836437288e-10,0.9867484467097388
1,Heart,1,14,1.2690610033284415e-08,1.2690610033284415e-08,0.9851363509876498
1,Heart,1,15,1.2166677336708092e-07,1.2166677336708092e-07,0.9834799574992826
1,Heart,1,16,6.759625788996875e-07,6.759625788996875e-07,0.9817865377278586
1,Heart,1,17,2.589661536355938e-06,2.589661536355938e-06,0.980064073672237
1,Heart,1,18,7.606531404965507e-06,7.606531404965507e-06,0.9783219953814475
1,Heart,1,19,1.8607557306697257e-05,1.8607557306697257e-05,0.9766160681289753
1,Heart,1,20,4.093380442623321e-05,4.093380442623321e-05,0.9749908442029714
1,Lungs,1,1,0.0,0.0,0.9999999999999998
1,Lungs,1,2,0.0,0.0,0.9999999999999997
1,Lungs,1,3,0.0,0.0,0.9988828639999998
1,Lungs,1,4,0.0,0.0,0.9983493525583998
1,Lungs,1,5,0.0,0.0,0.9973665954420119
1,Lungs,1,6,0.0,0.0,0.9964010241969112
1,Lungs,1,7,0.0,0.0,0.9951780931005668
1,Lungs,1,8,0.0,0.0,0.9938711636883526
1,Lungs,1,9,4.0640846631911626e-17,4.0640846631911626e-17,0.9925695686219145
1,Lungs,1,10,7.816928425994855e-14,7.816928425994855e-14,0.9911982137592047
1,Lungs,1,11,4.2437188341473e-11,4.2437188341473e-11,0.9897933019487387
1,Lungs,1,12,1.2435890970926452e-08,1.2435890970926452e-08,0.9882979414404035
1,Lungs,1,13,2.6535111932209705e-07,2.6535111932209705e-07,0.9867484467097388
1,Lungs,1,14,2.0080243968643913e-06,2.0080243968643913e-06,0.9851363509876498
1,Lungs,1,15,8.290502814315128e-06,8.290502814315128e-06,0.9834799574992826
1,Lungs,1,16,2.4016583053130545e-05,2.4016583053130545e-05,0.9817865377278586
